date,lat,lon,smajax,sminax,strike,q,depth,unc,q,mw,unc,q,s,mo,fac,mo_auth,mpp,mpr,mrr,mrt,mtp,mtt,eventid
1919-07-2402:03:33.53,39.071,75.441,15.5,7.4,34.1,B,20.0,21.8,C,6.50,0.22,C,p,,,,,,,,,,912862
1919-08-2905:44:03.04,-3.019,127.383,14.7,8.8,64.1,B,15.0,11.0,C,6.91,0.49,C,p,,,,,,,,,,912906
1919-08-3117:20:35.92,-15.368,167.194,13.8,10.6,120.8,B,35.0,7.5,C,6.76,0.24,B,p,,,,,,,,,,912912
1919-09-2619:39:43.48,6.850,124.098,11.4,7.7,95.0,B,35.0,25.0,C,6.56,0.41,C,p,,,,,,,,,,912961
1919-10-1221:48:31.74,-4.179,101.752,19.1,11.0,49.6,C,25.0,15.6,C,6.47,0.62,C,p,,,,,,,,,,912979
1919-11-1821:54:54.05,39.498,26.530,11.2,9.9,72.3,C,10.0,5.0,C,6.51,0.20,C,p,,,,,,,,,,913005
1919-12-2020:37:34.36,22.514,121.787,13.0,7.2,108.0,B,20.0,11.2,C,6.90,0.24,B,p,,,,,,,,,,913021
1920-02-0211:22:24.36,-4.967,152.017,13.9,10.5,71.8,A,35.0,31.0,C,7.81,0.65,C,p,,,,,,,,,,912419
1920-02-1022:07:18.41,18.619,-67.339,10.7,8.5,142.3,B,15.0,7.4,C,6.40,0.30,B,d,5.70,18,bibliog,,,,,,,912429
1920-03-1718:37:04.97,1.575,95.555,21.1,13.6,14.3,C,15.0,25.0,C,6.32,0.20,C,p,,,,,,,,,,912458
1920-03-2018:31:25.65,-35.848,-110.726,21.3,14.8,159.0,C,10.0,25.0,C,6.96,0.38,C,p,,,,,,,,,,912460
1920-03-2905:08:00.16,50.957,-127.233,18.2,8.4,61.4,C,15.0,25.0,C,6.40,0.51,C,p,,,,,,,,,,912464
1920-04-1123:03:45.39,48.881,151.124,21.3,8.4,127.0,C,15.0,25.0,C,6.34,0.20,C,p,,,,,,,,,,912474
1920-05-0705:40:52.72,6.831,126.808,15.7,9.2,76.3,B,35.0,13.8,C,6.81,0.20,B,p,,,,,,,,,,912485
1920-05-0721:31:17.89,-9.366,156.260,15.2,12.2,45.9,B,15.0,0.9,C,6.83,0.20,B,p,,,,,,,,,,912486
1920-05-1301:48:44.09,-3.650,144.000,17.4,8.1,76.4,B,25.0,12.3,C,6.96,0.63,C,p,,,,,,,,,,912492
1920-05-2007:26:06.72,-12.327,166.676,12.5,12.1,95.4,A,80.0,24.6,C,6.79,0.37,C,p,,,,,,,,,,912500
1920-06-0504:21:35.18,23.684,121.986,9.0,6.6,90.3,A,20.0,9.8,C,8.20,0.30,C,p,,,,,,,,,,912519
1920-06-0911:30:39.51,-4.881,129.583,15.2,9.8,72.7,B,15.0,36.3,C,6.82,0.63,C,p,,,,,,,,,,912525
1920-07-0400:11:50.18,-0.916,-15.285,36.0,12.5,137.1,C,10.0,25.0,C,6.40,0.31,C,p,,,,,,,,,,912552
1920-08-0303:01:59.67,5.841,127.902,21.2,10.3,71.2,B,15.0,25.0,C,6.26,0.30,C,p,,,,,,,,,,912572
1920-08-0319:57:21.49,-27.398,-67.848,21.9,14.2,73.4,C,15.0,25.0,C,6.93,0.51,C,p,,,,,,,,,,912573
1920-08-1508:16:28.78,-12.119,166.428,17.6,12.0,119.0,A,35.0,58.5,C,6.65,0.28,C,p,,,,,,,,,,912580
1920-08-2016:15:41.93,-38.063,-73.017,40.2,16.7,110.0,C,15.0,5.8,C,6.90,0.26,C,p,,,,,,,,,,16958437
1920-09-0918:56:02.42,-14.920,173.111,33.7,16.0,115.1,C,15.0,25.0,C,6.48,0.52,C,p,,,,,,,,,,912607
1920-09-2014:39:03.61,-20.088,168.523,14.6,10.2,147.0,B,25.0,12.7,C,8.14,0.44,C,p,,,,,,,,,,912618
